Incident Type,Council District,Mental Health Flag,Priority Level,Response Datetime,Response Year,Response Month,Response Day of Week,Response Hour,First Unit Arrived Datetime,Call Closed Datetime,Sector,Initial Problem Description,Initial Problem Category,Number of Units Arrived,Unit Time on Scene,Response Time,Officer Injured/Killed Count,Subject Injured/Killed Count,Other Injured/Killed Count
Dispatched Incident,0,Not Mental Health Incident,Priority 2,2014-01-16T14:53:48Z,2014,Jan,Thu,14,2014-01-16T15:21:01Z,2014-01-16T15:31:30Z,David,Information,Assistance,1,629,1649,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 0,2023-02-19T14:45:05Z,2023,Feb,Sun,14,2023-02-19T15:12:36Z,2023-02-19T15:25:36Z,Frank,Traffic Hazard Hs,Traffic Stop/Hazard,1,780,1716,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 2,2021-08-18T18:13:18Z,2021,Aug,Wed,18,2021-08-18T18:18:59Z,2021-08-18T18:38:12Z,Ida,Crash Urgent,Crashes,2,2263,400,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 2,2017-11-16T16:13:28Z,2017,Nov,Thu,16,2017-11-16T17:41:24Z,2017-11-16T18:41:56Z,Baker,Crash Urgent,Crashes,1,3632,5320,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 1,2023-02-18T16:20:09Z,2023,Feb,Sat,16,2023-02-18T16:26:24Z,2023-02-18T19:14:26Z,Ida,Nature Unknown Urgent,Other,4,22360,421,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2018-06-08T18:04:05Z,2018,Jun,Fri,18,2018-06-08T18:09:31Z,2018-06-08T18:13:47Z,Frank,Disturbance Other,Disturbance,1,256,386,0,0,0
Dispatched Incident,2,Mental Health Incident,Priority 0,2022-11-26T11:59:29Z,2022,Nov,Sat,11,2022-11-26T12:04:35Z,2022-11-26T13:14:40Z,Henry,Disturbance Hs,Disturbance,3,9064,613,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 1,2021-10-01T08:14:45Z,2021,Oct,Fri,8,2021-10-01T08:40:19Z,2021-10-01T09:18:38Z,Charlie,Check Welfare Urgent,Welfare Check,2,3613,1561,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2016-12-27T03:45:24Z,2016,Dec,Tue,3,2016-12-27T03:53:39Z,2016-12-27T03:57:31Z,Henry,Suspicious Person,Suspicious Things,1,232,539,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 3,2016-11-10T12:13:28Z,2016,Nov,Thu,12,2016-11-10T12:24:48Z,2016-11-10T14:20:27Z,Adam,Crash Service,Crashes,1,6939,698,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2024-01-13T08:25:32Z,2024,Jan,Sat,8,2024-01-13T09:06:06Z,2024-01-13T09:48:54Z,Charlie,Disturbance Other,Disturbance,3,6316,2500,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 2,2014-09-26T12:46:57Z,2014,Sep,Fri,12,2014-09-26T12:54:41Z,2014-09-26T13:21:32Z,Ida,Disturbance Other,Disturbance,4,3170,495,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 0,2020-01-05T17:30:35Z,2020,Jan,Sun,17,2020-01-05T17:35:40Z,2020-01-05T17:46:32Z,David,Disturbance Urgent,Disturbance,2,1203,366,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2018-01-25T01:12:39Z,2018,Jan,Thu,1,2018-01-25T01:14:13Z,2018-01-25T01:17:36Z,David,Alarm Burglar,Alarms,1,203,210,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2021-02-05T18:55:17Z,2021,Feb,Fri,18,2021-02-05T19:02:04Z,2021-02-05T21:43:08Z,David,Crash Urgent,Crashes,2,14557,478,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2022-04-07T18:19:17Z,2022,Apr,Thu,18,2022-04-07T18:50:15Z,2022-04-07T19:03:06Z,Charlie,Doc / C.o. Violation,Disorderly Conduct,1,771,1945,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 1,2021-08-11T13:35:07Z,2021,Aug,Wed,13,2021-08-11T13:40:01Z,2021-08-11T14:26:51Z,Edward,Nature Unknown Urgent,Other,2,3382,346,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2023-03-13T17:15:38Z,2023,Mar,Mon,17,2023-03-13T17:59:34Z,2023-03-13T18:02:24Z,Henry,Disturbance Other,Disturbance,1,170,2673,0,0,0
Dispatched Incident,8,Not Mental Health Incident,Priority 2,2020-09-15T18:27:10Z,2020,Sep,Tue,18,2020-09-15T18:34:14Z,2020-09-15T18:38:31Z,David,Alarm Burglar,Alarms,2,495,491,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2014-10-24T11:00:28Z,2014,Oct,Fri,11,2014-10-24T11:11:45Z,2014-10-24T11:16:05Z,Charlie,Disturbance Service,Disturbance,1,260,787,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2021-11-30T16:57:39Z,2021,Nov,Tue,16,2021-11-30T17:40:44Z,2021-11-30T17:57:35Z,Henry,Service,Other,1,1011,2663,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 2,2019-03-10T10:45:24Z,2019,Mar,Sun,10,2019-03-10T11:03:51Z,2019-03-10T12:14:05Z,Adam,Trespass Urgent,Trespassing,1,4214,1177,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2022-07-21T21:22:27Z,2022,Jul,Thu,21,2022-07-21T23:16:30Z,2022-07-22T02:05:22Z,Henry,Disturbance Urgent,Disturbance,4,26788,6944,0,0,0
Dispatched Incident,2,Mental Health Incident,Priority 3,2021-08-15T15:52:38Z,2021,Aug,Sun,15,2021-08-15T17:10:06Z,2021-08-15T20:11:41Z,Frank,Missing Hs,Missing Persons/Kidnapping,3,25982,4810,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2021-02-12T02:55:01Z,2021,Feb,Fri,2,2021-02-12T02:59:35Z,2021-02-12T03:22:20Z,Henry,Suspicious Person,Suspicious Things,2,1891,380,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 0,2021-06-12T21:09:00Z,2021,Jun,Sat,21,2021-06-12T21:15:25Z,2021-06-12T21:42:12Z,Charlie,Crash Hs,Crashes,2,3076,441,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2016-10-15T17:32:25Z,2016,Oct,Sat,17,2016-10-15T18:13:28Z,2016-10-15T18:49:46Z,Frank,Crash Urgent,Crashes,2,3622,2530,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 1,2018-08-24T18:23:07Z,2018,Aug,Fri,18,2018-08-24T18:26:26Z,2018-08-24T18:45:04Z,George,Check Welfare Urgent,Welfare Check,2,1564,221,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 3,2021-09-16T12:02:45Z,2021,Sep,Thu,12,2021-09-16T12:08:29Z,2021-09-16T12:12:19Z,Frank,Check Welfare Service,Welfare Check,2,321,398,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 0,2024-02-24T16:35:23Z,2024,Feb,Sat,16,2024-02-24T16:41:23Z,2024-02-24T19:33:25Z,Charlie,Disturbance Urgent,Disturbance,3,11882,320,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 3,2019-01-31T10:21:56Z,2019,Jan,Thu,10,2019-01-31T10:48:06Z,2019-01-31T11:24:36Z,David,Non Emergency Refusal,Other,2,3498,1727,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2024-09-08T23:17:03Z,2024,Sep,Sun,23,2024-09-08T23:40:45Z,2024-09-09T00:25:37Z,Henry,Trespass Urgent,Trespassing,2,5198,1454,0,0,0
Dispatched Incident,4,Mental Health Incident,Priority 1,2021-06-06T22:21:54Z,2021,Jun,Sun,22,2021-06-06T22:25:02Z,2021-06-06T23:31:47Z,Edward,Nature Unknown Urgent,Other,2,7988,246,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2017-11-02T11:42:53Z,2017,Nov,Thu,11,2017-11-02T12:00:07Z,2017-11-02T19:08:31Z,Charlie,Sex Crime Service,Sex Crimes,6,61492,972,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2021-04-07T17:12:35Z,2021,Apr,Wed,17,2021-04-07T17:27:54Z,2021-04-07T19:20:02Z,George,Trespass Urgent,Trespassing,2,7673,943,0,0,0
